21700,87.2817,31.4723
21800,116.9860,41.2519
21900,112.7567,37.9737
22000,112.3240,36.8977
22100,121.1534,42.9195
22200,110.5611,31.3286
22300,120.8450,39.2730
22400,124.5795,35.2940
22500,114.0951,33.2616
22600,117.6794,35.8071
22700,123.2074,39.0196
22800,129.0501,40.6792
22900,116.4803,43.8796
23000,132.1143,33.7720
23100,100.0585,34.5036
23200,123.1895,35.7004
23300,126.2224,37.2920
23400,117.6411,39.8716
23500,126.2860,33.7226
23600,124.6965,47.4088
23700,100.2935,40.6060
23800,117.6909,39.0441
23900,131.5508,37.0431
24000,121.2965,41.3379
24100,115.2738,40.3599
24200,115.6955,37.5727
24300,124.4795,40.1220
24400,118.9122,34.0166
24500,129.9980,35.5406
24600,116.0240,41.3878
24700,125.7410,43.2232
24800,126.3680,38.0573
24900,127.1341,37.9861
25000,123.5226,40.5248
25100,129.1790,36.0873
25200,114.2310,32.9968
25300,110.3813,36.7222
25400,126.5988,39.4615
25500,131.2015,36.4714
25600,133.4989,38.9767
25700,136.7075,41.8937
25800,126.1357,43.6805
25900,135.8685,40.0597
26000,129.1295,37.0037
26100,133.8210,38.7306
26200,122.3892,40.2110
26300,124.6117,36.3999
26400,113.2852,39.7796
26500,123.8773,40.5462
26600,133.9121,41.5075
26700,130.4208,45.6300
26800,93.7772,39.1008
26900,134.6373,37.7452
27000,145.1651,33.1938
27100,131.2119,37.5715
27200,140.9441,40.0253
27300,138.5203,39.4781
27400,136.1524,39.4318
27500,126.7455,41.0491
27600,133.3409,37.8226
27700,135.8475,43.1082
27800,139.2961,42.1512
27900,140.1653,36.3550
28000,130.0814,41.2695
28100,135.8746,38.6875
28200,124.8590,43.9380
28300,138.4630,39.6666
28400,134.9943,35.1674
28500,137.7386,43.0357
28600,138.3388,40.5851
28700,139.8747,38.5916
28800,138.6094,37.7397
28900,139.0850,44.5420
29000,140.2742,43.7371
29100,135.7936,41.3654
29200,142.9490,35.0647
29300,144.5471,35.5536
29400,139.8971,40.5049
29500,139.4666,39.9238
29600,141.1976,40.7144
29700,145.9284,39.6033
29800,144.9431,38.3961
29900,148.8093,37.2967
